index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
807,635a845e1ab9982803029a03,2022-06-01T22:00:00.000Z,"Griff (💜,💜)#8888",karmaticacid#1218,for getting payments out ,21.0,144,0.0,635a845e1ab9982803029976,,,False,False,True,geleeroyale#3228,Almond | oyealmond#7049,hanners717#2022,48.7,144.0
1090,635a845e1ab9982803029b1e,2022-06-08T22:00:00.000Z,Almond | oyealmond#7049,karmaticacid#1218,for setting up Twitter spaces and giving our team a chance to share about giveth ,21.0,1,144.0,,,,False,False,False,cuidadopeligro#4788,Dr. Suga#8514,Nikola Creatrix#5026,55.33,143.0
359,635a845e1ab9982803029843,2022-05-25T22:00:00.000Z,Oki - @okiave💜🐙,ClaraZi#5313,"and Catarina for taking time to share your ideas and thoughts about projects and donors on the Connect Miro and at strat session. As always I learned a lot from your experience, knowledge and feedback. Thank-you ",3.0,144,13.0,,,,False,False,False,karmaticacid#1218,Nicbals#2154,Danibelle the Uno and Only#6791,53.33,141.0
912,635a845e1ab9982803029a6c,2022-06-01T22:00:00.000Z,brodhisattva#3152,WhyldWanderer#7002,for the work they do behind the scenes to make sure Giveth remains secure ,21.0,3,144.0,,635a845e1ab99828030297a5,,False,False,False,geleeroyale#3228,karmaticacid#1218,Nikola Creatrix#5026,55.0,141.0
1071,635a845e1ab9982803029b0b,2022-06-07T22:00:00.000Z,Rodricast#1415,karmaticacid#1218,"for volunteering to make a miro board to collect NFT suggestion feedback, and volunteering to watch videos to learn miro - you are so cool!! ",34.0,144,3.0,,,,False,False,False,Almond | oyealmond#7049,Nicbals#2154,Danibelle the Uno and Only#6791,60.33,141.0
358,635a845e1ab9982803029842,2022-05-25T22:00:00.000Z,Nikola Creatrix#5026,ClaraZi#5313,"and Catarina for taking time to share your ideas and thoughts about projects and donors on the Connect Miro and at strat session. As always I learned a lot from your experience, knowledge and feedback. Thank-you ",3.0,144,,,,,False,False,False,karmaticacid#1218,Nicbals#2154,Danibelle the Uno and Only#6791,73.5,141.0
354,635a845e1ab998280302983e,2022-05-25T22:00:00.000Z,Sym#3186,ClaraZi#5313,"and Catarina for taking time to share your ideas and thoughts about projects and donors on the Connect Miro and at strat session. As always I learned a lot from your experience, knowledge and feedback. Thank-you ",21.0,144,5.0,,,,False,False,False,Almond | oyealmond#7049,Nicbals#2154,Danibelle the Uno and Only#6791,56.67,139.0
600,635a845e1ab9982803029934,2022-05-25T22:00:00.000Z,karmaticacid#1218,WhyldWanderer#7002,for leading so many different initiatives with infectious enthusiasm ,8.0,5,144.0,,,,False,False,False,miguelb#5176,mateodaza#3156,Nikola Creatrix#5026,52.33,139.0
227,635a845e1ab99828030297bf,2022-05-18T22:00:00.000Z,MoeNick#1374,geleeroyale#3228,our dev shepherd ,144.0,5,21.0,635a845e1ab9982803029755,,635a845e1ab9982803029755,False,False,False,ClaraZi#5313,Almond | oyealmond#7049,freshelle#9882,7.17,139.0
746,635a845e1ab99828030299c6,2022-06-01T22:00:00.000Z,karmaticacid#1218,ahmad#7204,for always being receptive to improve our systems ,13.0,5,144.0,,,,False,False,False,miguelb#5176,mateodaza#3156,Nikola Creatrix#5026,54.0,139.0
129,635a845e1ab998280302975d,2022-05-18T22:00:00.000Z,karmaticacid#1218,ahmad#7204,"for all their great content work, feedback and improving how we present ourselves to the world ",5.0,5,144.0,,,,False,False,False,miguelb#5176,mateodaza#3156,Nikola Creatrix#5026,51.33,139.0
944,635a845e1ab9982803029a8c,2022-06-01T22:00:00.000Z,karmaticacid#1218,WhyldWanderer#7002,for being Giveth's Kamaji 👇 - the things really wouldn't function well without you... ,13.0,5,144.0,,,,False,False,False,miguelb#5176,mateodaza#3156,Nikola Creatrix#5026,54.0,139.0
348,635a845e1ab9982803029838,2022-05-25T22:00:00.000Z,WhyldWanderer#7002,ClaraZi#5313,for all the work on the new verification process: thanks for taking the time to go through all the feedback for updating the figma ,144.0,5,21.0,,,,False,False,False,Nicbals#2154,divine_comedian#5493,hanners717#2022,56.67,139.0
