,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
23,63,649359d835a11ee830ad6038,2023-06-21T20:13:12.715000Z,parrachia#0,dr.suga,"incredible incredible marathon (and as a real 42.2 km marathon runner, I don’t use that metaphor lightly) “support” read: absolute anchor for THREE 11th hour OP grant submissions. What a lucky addition to the Giveth family. I am rooftop-shouting grateful.",0,0,6490456235a11ee830abcd15,whyldwanderer,freshelle,cuidadopeligro,29.666666666666668,55,False,"incredible incredible marathon (and as a real 42.2 km marathon runner, I don’t use that metaphor lightly) “support” read: absolute anchor for THREE 11th hour OP grant submissions. What a lucky addition to the Giveth family. I am rooftop-shouting grateful."
37,148,649461f435a11ee830adb34e,2023-06-22T15:00:04.047000Z,karmaticacid#0,carlos096#0,for also being on top of issues and providing feedback and bug reports,0,0,64945d9035a11ee830adaa9d,brichis,almondoyealmond,cuidadopeligro,9.666666666666666,34,False,for also being on top of issues and providing feedback and bug reports
42,167,6494639135a11ee830adb5b8,2023-06-22T15:06:57.081000Z,parrachia#0,dr.suga,"for amazing support AMAZING SUPPORT on hitting the OP proposals deadlines yesterday and today and wow I just can't say enough, I might just cry with gratitude",0,0,649442f135a11ee830ad92d0,whyldwanderer,freshelle,cuidadopeligro,22.666666666666668,34,False,"for amazing support AMAZING SUPPORT on hitting the OP proposals deadlines yesterday and today and wow I just can't say enough, I might just cry with gratitude"
45,182,6495737835a11ee830ae5bc1,2023-06-23T10:27:04.075000Z,Amin#2164,aabugosh#0,For his support on hiring and for being so active with the Cannon project,0,649450db35a11ee830ad998d,0,brichis,freshelle,nikola_creatrix,7.0,34,False,For his support on hiring and for being so active with the Cannon project
57,211,6495ec1b35a11ee830ae7b47,2023-06-23T19:01:47.319000Z,yass.o#0,missgene#0,for taking the time to present their projects and ideas during the 1st wave of AI presentations for non-coders!,64945f6d35a11ee830adb0c1,64945f6d35a11ee830adb0c1,0,whyldwanderer,freshelle,nikola_creatrix,2.6666666666666665,34,False,for taking the time to present their projects and ideas during the 1st wave of AI presentations for non-coders!
59,77,649441af35a11ee830ad911e,2023-06-22T12:42:23.847000Z,brichis,Jake🐍#0203,"for allowing me to do another song / praise combo... ""YOU DOWN WITH OP(P)...YEAH YOU KNOW ME!"" by Naughty by Brichis aka Ms OP!",0,0,6493278435a11ee830ad4138,whyldwanderer,freshelle,cuidadopeligro,14.0,34,False,"for allowing me to do another song / praise combo... ""YOU DOWN WITH OP(P)...YEAH YOU KNOW ME!"" by Naughty by Brichis aka Ms OP!"
69,280,649da1b97f759e2969e351e5,2023-06-29T15:22:33.449000Z,zeptimusq#0,brichis,"For being a really efficient team, we passed the second stage and we did it really well. We put the bar high with the quality of our proposed missions for Optimism",0,0,649442f135a11ee830ad92cf,whyldwanderer,freshelle,cuidadopeligro,18.333333333333332,34,False,"For being a really efficient team, we passed the second stage and we did it really well. We put the bar high with the quality of our proposed missions for Optimism"
75,297,649f09946b8b45469885b7c5,2023-06-30T16:57:56.927000Z,parrachia#0,brichis,"By his triumphant entrance to the fundraising team, in his first week on the job he was already saving the day. Very active and super good at what he does. Welcome and congratulations!",0,0,649da1b97f759e2969e351e8,whyldwanderer,freshelle,cuidadopeligro,14.0,34,False,"By his triumphant entrance to the fundraising team, in his first week on the job he was already saving the day. Very active and super good at what he does. Welcome and congratulations!"
85,118,64945bf135a11ee830ada2e6,2023-06-22T14:34:25.744000Z,_cherik#0,karmaticacid#0,"for their tireless commitment to getting QF function, developed and out the door, we're making such great progress",0,0,649450a035a11ee830ad98dc,brichis,almondoyealmond,cuidadopeligro,15.666666666666666,34,False,"for their tireless commitment to getting QF function, developed and out the door, we're making such great progress"
90,113,64945bf135a11ee830ada2e3,2023-06-22T14:34:25.743000Z,Maryjaf#2478,karmaticacid#0,"for their tireless commitment to getting QF function, developed and out the door, we're making such great progress",649450a035a11ee830ad98db,0,0,whyldwanderer,freshelle,nikola_creatrix,15.666666666666666,34,False,"for their tireless commitment to getting QF function, developed and out the door, we're making such great progress"
