index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
340,65528a8f443cfd86f78c2cd0,2023-11-13T20:43:59.794000Z,karmaticacid#0,mohammad_ranjbar_z#0,"For their great speech in how dao event, you guys are really amazing and inspiring",144,8,21,,,,False,False,False,nikola_creatrix,makkiyzy,geleeroyale,57.6666666666667,136
60,6543b74b521c1c2982124b45,2023-11-02T14:50:51.149000Z,griffgreen#0,snakey_jakey.,"for all the ENS outreach and pushing. without you, we would be missing 5 ETH in our pockets and I prefer ETH heavy pockets. Thanks for the amazing fundraising efforts",144,55,8,,,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,69.0,136
244,654f5553443cfd86f78a8286,2023-11-11T10:20:03.735000Z,missgene#0,danidiabella#0,"for hunting down a restaurant in the vicinity that fit both our budget and our group size, coordinating the transport with the hotel, and getting everyone on the bus!",21,8,144,,,,False,False,False,steffansteetweets9260,makkiyzy,cuidadopeligro,57.6666666666667,136
59,6543b74b521c1c2982124b48,2023-11-02T14:50:51.149000Z,missgene#0,snakey_jakey.,"for all the ENS outreach and pushing. without you, we would be missing 5 ETH in our pockets and I prefer ETH heavy pockets. Thanks for the amazing fundraising efforts",144,8,13,,,,False,False,False,steffansteetweets9260,makkiyzy,cuidadopeligro,55.0,136
70,6543bcf2521c1c298212684b,2023-11-02T15:14:58.249000Z,missgene#0,brichis,For always being open to collaborate and being a great team player. The outreach that she does for fundraising is really important for the Giveth Galaxy and generates a lot of impact,144,13,8,6543b74b521c1c2982124b48,,,False,False,False,steffansteetweets9260,makkiyzy,cuidadopeligro,7.0,136
178,654ab25f443cfd86f7873b40,2023-11-07T21:55:43.440000Z,karmaticacid#0,karmaticacid#0,"for updating our grant for gg19, and applying for the round, relaying message points to comms and organizing issues for marketing out grant. It was a lot of work to manage while being present in the 1st day of our givconnect retrea",144,13,21,,,,False,False,False,nikola_creatrix,makkiyzy,geleeroyale,59.3333333333333,131
123,6549fa43443cfd86f7869558,2023-11-07T08:50:11.265000Z,griffgreen#0,mohammad_ranjbar_z#0,For coordinating all the things for the retreat and gathering with the team,144,55,13,6543dc38521c1c298212ccc4,,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,22.6666666666667,131
43,6543b5fb521c1c298212415c,2023-11-02T14:45:15.547000Z,missgene#0,karmaticacid#0,"for all their work coordinating folks for Instanbul, ensuring that all forms are filled out and the people are all situated, prepped & ready to bond!",144,13,34,,,,False,False,False,steffansteetweets9260,makkiyzy,cuidadopeligro,63.6666666666667,131
207,654ca109443cfd86f78834f8,2023-11-09T09:06:17.828000Z,missgene#0,karmaticacid#0,"for all their work in organizing lunches for GIVconnect - catering different prefrences & needs, timing, & all of this on the fly! it's huge work and makes a huge difference for making our team feel connected & supported!",144,13,89,,,6549fa3c443cfd86f786946f,False,False,False,steffansteetweets9260,makkiyzy,cuidadopeligro,52.3333333333333,131
10,65430487521c1c298211290b,2023-11-02T02:08:07.965000Z,griffgreen#0,freshelle,for quickly sending advance payment to our contributor who really needs it as financial support when travelling to Istanbul. We greatly appreciate all the effort and creative ways you're doing to make sure our contributors don't have any blockers to joing the Giveth Magic retreat and Devconnect! 🙌🏼,144,34,21,,,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,66.3333333333333,123
228,654e2fb2443cfd86f789e1de,2023-11-10T13:27:14.869000Z,griffgreen#0,surbhiaroraa.eth,for explaining Gurves. You are so great at breaking down very complicated things in a very simple digestible language. You are great at teaching. :),144,34,21,,,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,66.3333333333333,123
106,6543dc38521c1c298212ccc4,2023-11-02T17:28:24.009000Z,griffgreen#0,MAYE#1208,"Becasue I understand from a bussiness  perspective (even when we are ""not"" one), the tremendous monetary effort he has to make in order for this rereat to happen. Economic resources must have been changed from different areas for this  to be possible without breaking (maybe just cracking a bit)",144,34,21,,,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,66.3333333333333,123
336,65520b7d443cfd86f78bded6,2023-11-13T11:41:49.991000Z,griffgreen#0,snakey_jakey.,for being the reason for the Giveth retreat season. Not enough can be said with regards to thanks for ensuring this retreat happened. Your generosity knows no ends 🎅🏻,144,34,55,6543dc38521c1c298212ccc4,,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,29.6666666666667,110
142,6549fb1a443cfd86f786a1eb,2023-11-07T08:53:46.386000Z,griffgreen#0,hanners717#0,"for having the grand vision of our Istanbul team retreat, to build deeper team bonds and get clear on our Giveth vision/roadmap.",144,55,89,6543dc38521c1c298212ccc4,6549fa43443cfd86f7869558,6549fa7f443cfd86f78697cf,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,0.0,89
128,6549fa7f443cfd86f78697cf,2023-11-07T08:51:11.721000Z,griffgreen#0,cuidadopeligro#0,for being the man behind the vision and making this retreat possible!,144,55,89,6543dc38521c1c298212ccc4,6549fa43443cfd86f7869558,,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,29.6666666666667,89
138,6549fad1443cfd86f7869edd,2023-11-07T08:52:33.265000Z,griffgreen#0,divine_comedian#0,"for being the man to get us all together. For providing the means to make this epic gathering happen, it's been at least 2 years in the making!",144,55,89,6543dc38521c1c298212ccc4,,6549fa7f443cfd86f78697cf,False,False,False,nikola_creatrix,freshelle,cuidadopeligro,18.3333333333333,89
